AgArea,Station_ID,Station_Description,DECIMAL_LAT,DECIMAL_LONG,pH_benuse,pH_low,pH_high,DO_use,DO_criteria,ZDADM,Temp_Benuse,spwn_time,Comments
Upper Deschutes,10690,Metolius River north of Camp Sherman (Bridge 99),44.55652,-121.6209,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,12,Bull Trout Spawning and Juvenile Rearing,No spawning,
Upper Deschutes,10694,Spring River at mouth (Sunriver),43.87272,-121.4644,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10696,Little Deschutes River at HWY 42 (Road 2114),43.82054,-121.4513,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10698,Little Deschutes River at Masten Road,43.64551,-121.5916,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10699,Little Deschutes River at Road 2320,43.52476,-121.6516,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10700,Little Deschutes River downstream of 2nd sludge lagoon,43.49059,-121.6863,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,10703,Little Deschutes River upstream of Gilchrist Mill Pond,43.46349,-121.698,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,12565,Crescent Creek at USFS Rd 62 (Little Deschutes),43.52018,-121.679,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,12565,Crescent Creek at Little River,43.52018,-121.679,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,12567,Little Deschutes River at State Park Road,43.77092,-121.4767,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,No spawning,
Upper Deschutes,25564,Little Deschutes River at Cow Camp,43.30738,-121.8648,All other basin waters,6,8.5,Cold-Water Aquatic Life,8,12,Bull Trout Spawning and Juvenile Rearing,No spawning,
